"Gene_ID","DL1","U2OS","A549DE","A549US"
70,0,0,0,1
92,0,0,0,1
147,0,0,0,1
335,0,0,0,1
658,0,0,0,1
790,0,0,0,1
1019,0,0,0,1
1280,0,0,0,1
1385,0,0,0,1
1455,0,0,0,1
1733,0,0,0,1
2260,0,0,0,1
2324,0,0,0,1
2334,0,0,0,1
3356,0,0,0,1
4058,0,0,0,1
4914,0,0,0,1
4915,0,0,0,1
5062,0,0,0,1
5422,0,0,0,1
5580,0,0,0,1
5594,0,0,0,1
5707,0,0,0,1
6334,0,0,0,1
6340,0,0,0,1
6478,0,0,0,1
6811,0,0,0,1
7178,0,0,0,1
7341,0,0,0,1
8570,0,0,0,1
9149,0,0,0,1
9201,0,0,0,1
9448,0,0,0,1
9578,0,0,0,1
10036,0,0,0,1
10616,0,0,0,1
10725,0,0,0,1
11213,0,0,0,1
23386,0,0,0,1
23534,0,0,0,1
25831,0,0,0,1
27347,0,0,0,1
28996,0,0,0,1
29110,0,0,0,1
30815,0,0,0,1
30849,0,0,0,1
51172,0,0,0,1
51257,0,0,0,1
51422,0,0,0,1
51526,0,0,0,1
54980,0,0,0,1
54991,0,0,0,1
55850,0,0,0,1
56164,0,0,0,1
57085,0,0,0,1
57551,0,0,0,1
64284,0,0,0,1
64601,0,0,0,1
65220,0,0,0,1
114299,0,0,0,1
114880,0,0,0,1
114971,0,0,0,1
115701,0,0,0,1
127733,0,0,0,1
204851,0,0,0,1
256126,0,0,0,1
283455,0,0,0,1
340260,0,0,0,1
440396,0,0,0,1
440738,0,0,0,1
441670,0,0,0,1
157,0,0,0,2
207,0,0,0,2
290,0,0,0,2
351,0,0,0,2
361,0,0,0,2
369,0,0,0,2
602,0,0,0,2
816,0,0,0,2
827,0,0,0,2
1394,0,0,0,2
1434,0,0,0,2
1511,0,0,0,2
1521,0,0,0,2
1613,0,0,0,2
1717,0,0,0,2
1787,0,0,0,2
1832,0,0,0,2
1845,0,0,0,2
2022,0,0,0,2
2045,0,0,0,2
2048,0,0,0,2
2050,0,0,0,2
2162,0,0,0,2
2263,0,0,0,2
2264,0,0,0,2
2322,0,0,0,2
2342,0,0,0,2
2346,0,0,0,2
2357,0,0,0,2
2444,0,0,0,2
2475,0,0,0,2
2539,0,0,0,2
2550,0,0,0,2
2580,0,0,0,2
2703,0,0,0,2
2869,0,0,0,2
2870,0,0,0,2
2932,0,0,0,2
2936,0,0,0,2
3320,0,0,0,2
3568,0,0,0,2
3581,0,0,0,2
3674,0,0,0,2
3675,0,0,0,2
3717,0,0,0,2
3760,0,0,0,2
3767,0,0,0,2
3778,0,0,0,2
3984,0,0,0,2
4296,0,0,0,2
4886,0,0,0,2
4920,0,0,0,2
4923,0,0,0,2
5063,0,0,0,2
5096,0,0,0,2
5165,0,0,0,2
5310,0,0,0,2
5566,0,0,0,2
5584,0,0,0,2
5605,0,0,0,2
5607,0,0,0,2
5610,0,0,0,2
5757,0,0,0,2
5797,0,0,0,2
5961,0,0,0,2
6015,0,0,0,2
6093,0,0,0,2
6196,0,0,0,2
6328,0,0,0,2
6357,0,0,0,2
6442,0,0,0,2
6446,0,0,0,2
6604,0,0,0,2
6613,0,0,0,2
6624,0,0,0,2
6627,0,0,0,2
6792,0,0,0,2
7005,0,0,0,2
7294,0,0,0,2
7423,0,0,0,2
7786,0,0,0,2
8021,0,0,0,2
8290,0,0,0,2
8438,0,0,0,2
8476,0,0,0,2
8558,0,0,0,2
8677,0,0,0,2
8831,0,0,0,2
8837,0,0,0,2
9135,0,0,0,2
9159,0,0,0,2
9180,0,0,0,2
9230,0,0,0,2
9231,0,0,0,2
9509,0,0,0,2
9575,0,0,0,2
9625,0,0,0,2
9641,0,0,0,2
9943,0,0,0,2
10055,0,0,0,2
10105,0,0,0,2
10114,0,0,0,2
10181,0,0,0,2
10297,0,0,0,2
10381,0,0,0,2
10595,0,0,0,2
10733,0,0,0,2
10783,0,0,0,2
10849,0,0,0,2
11113,0,0,0,2
11214,0,0,0,2
23049,0,0,0,2
23216,0,0,0,2
23352,0,0,0,2
23387,0,0,0,2
23396,0,0,0,2
23552,0,0,0,2
23604,0,0,0,2
27092,0,0,0,2
29035,0,0,0,2
29882,0,0,0,2
29959,0,0,0,2
30811,0,0,0,2
50488,0,0,0,2
51061,0,0,0,2
51393,0,0,0,2
54507,0,0,0,2
54776,0,0,0,2
55229,0,0,0,2
55577,0,0,0,2
55652,0,0,0,2
55872,0,0,0,2
56300,0,0,0,2
56311,0,0,0,2
56660,0,0,0,2
56893,0,0,0,2
56997,0,0,0,2
57120,0,0,0,2
57502,0,0,0,2
57534,0,0,0,2
58526,0,0,0,2
79574,0,0,0,2
79641,0,0,0,2
79705,0,0,0,2
79872,0,0,0,2
80231,0,0,0,2
80818,0,0,0,2
84197,0,0,0,2
89891,0,0,0,2
90736,0,0,0,2
92579,0,0,0,2
93611,0,0,0,2
93953,0,0,0,2
94234,0,0,0,2
96626,0,0,0,2
113878,0,0,0,2
114788,0,0,0,2
116447,0,0,0,2
118442,0,0,0,2
122525,0,0,0,2
124583,0,0,0,2
126541,0,0,0,2
153571,0,0,0,2
167681,0,0,0,2
203068,0,0,0,2
254065,0,0,0,2
284230,0,0,0,2
284366,0,0,0,2
338599,0,0,0,2
340024,0,0,0,2
377841,0,0,0,2
387082,0,0,0,2
387911,0,0,0,2
401007,0,0,0,2
401665,0,0,0,2
441239,0,0,0,2
643641,0,0,0,2
653712,0,0,0,2
730974,0,0,0,2
31,0,0,1,0
368,0,0,1,0
443,0,0,1,0
961,0,0,1,0
1128,0,0,1,0
1147,0,0,1,0
1163,0,0,1,0
1258,0,0,1,0
1408,0,0,1,0
1499,0,0,1,0
1869,0,0,1,0
2662,0,0,1,0
2948,0,0,1,0
2967,0,0,1,0
3371,0,0,1,0
3444,0,0,1,0
3455,0,0,1,0
3460,0,0,1,0
3550,0,0,1,0
3827,0,0,1,0
3957,0,0,1,0
4482,0,0,1,0
4486,0,0,1,0
4671,0,0,1,0
4861,0,0,1,0
5055,0,0,1,0
5157,0,0,1,0
5265,0,0,1,0
5288,0,0,1,0
5291,0,0,1,0
5660,0,0,1,0
5706,0,0,1,0
5935,0,0,1,0
6229,0,0,1,0
6301,0,0,1,0
6339,0,0,1,0
6560,0,0,1,0
6755,0,0,1,0
7084,0,0,1,0
7818,0,0,1,0
7862,0,0,1,0
8312,0,0,1,0
8440,0,0,1,0
8778,0,0,1,0
8883,0,0,1,0
9215,0,0,1,0
9282,0,0,1,0
9368,0,0,1,0
9965,0,0,1,0
10048,0,0,1,0
10131,0,0,1,0
