go,z1,z2,z3,z4,t,p,nparts,sum_scores_1,sum_scores_2,sum_scores_3,sum_scores_4,m_score,wishart_p
GO:0000003,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,-1.496088071919627,4.092892317469038,,2,0,0,2,0,0.0013912189646297255,5515
GO:0000014,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0000027,-1.197834080982263,3.677876877988631,-0.5581863749328602,-0.805987170662311,15.922772163638943,3458.6641995638224,5,0,8,0,0,1.9494489239500277,5496.8727583869395
GO:0000028,-1.197834080982263,2.375526389893529,1.5335556926385416,-0.40281426249009006,9.591984507132716,4047.4841096823066,5,0,6,4,0,33.1171779188176,1.4355854078929158
GO:0000038,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0000045,1.4404219867512897,1.3382148884346234,0.29856701775586175,-0.681747779488373,4.419556886473582,4300.934754634025,6,5,4,2,0,27.515984695901977,11.894773846761098
GO:0000049,-0.2115305015508887,-0.23395243117248588,0.008289363953028067,0.3576491770190936,0.22746054051506803,5504.5581818859455,6,2,2,3,4,19.048642389496845,218.66524017662422
GO:0000052,-1.070828612733914,-1.369138595082631,-1.9599883889085037,2.5136693188307238,13.181302339481544,,4,0,0,0,8,0.0027881163740131132,5515
GO:0000054,0.8107821640694629,-0.3718612032144081,-0.5810416562743936,-0.9214737306935669,1.98237171471364,,1,1,0,0,0,0,5515
GO:0000055,0.628200459153951,-0.8248605846622554,0.37517207534347086,-1.3038494682654882,2.915808323024316,,3,2,0,2,0,10.336933882973808,2269.128683351413
GO:0000056,0.628200459153951,-0.8248605846622554,0.37517207534347086,-1.3038494682654882,2.915808323024316,,3,2,0,2,0,10.336933882973808,2269.128683351413
GO:0000076,-0.7564187111277173,1.0889082987209908,-0.7394961385234877,-1.2209891860348638,3.795559680872789,,2,0,2,0,0,0.0013912189646297255,5515
GO:0000077,0.007965137111391126,-1.2521965979402174,-0.5860772788340707,0.11373252723852321,1.9244814278198674,5267.597219459317,5,2,0,2,4,12.377964350939385,1436.9702944061085
GO:0000079,0.19539204558542064,-0.7466498318568094,-1.103322155118779,1.2817254674907108,3.455803974880085,,2,1,0,0,3,12.626030384069693,1353.0431255993308
GO:0000082,-0.9666922302084523,-1.2089614238641226,-1.8992881743685168,0.17912373981217833,6.035462475797354,2447.6517256838547,11,2,2,2,10,10.047316845392706,2406.480570009589
GO:0000083,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0000086,1.6416403321186468,-0.0032141836107403843,0.7682734772406044,1.6739591166472712,6.087376571052788,3385.7566618469027,7,6,2,4,5,108.14984675909714,0.00000000000000694366001851559
GO:0000109,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0000110,-0.7564187111277173,-0.9671408095862676,-1.3845090365846062,1.7756216856186033,6.577228254934781,,2,0,0,0,4,0.0013912189646297255,5515
GO:0000118,0.628200459153951,0.01494565774860665,-0.9736645565137972,-1.563831038625408,3.7884493755462056,,3,2,1,0,0,1.6174412069631103,5506.841334278902
GO:0000120,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,-0.22335436808893955,1.7603433073022983,,1,0,0,0,1,0,5515
GO:0000121,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0000122,-1.465751534216232,0.02648061854779865,-0.7886979070948822,-0.37904002120817637,2.9148445095492552,3328.0253372858165,55,14,23,23,31,94.40700493674255,0.000000000003931693630180699
GO:0000123,0.19539204558542064,-0.7466498318568094,-0.11649922948382105,-1.3999560370763056,2.5691129991065744,,2,1,0,1,0,2.1264750397190895,5488.945288218728
GO:0000124,-0.9268919982233768,2.174120655890649,-0.6426960117567077,0.6972490528892319,6.48514380802382,,3,0,4,0,2,19.8387945078566,169.94374966450832
