go,z1,z2,z3,z4,t,p,nparts,sum_scores_1,sum_scores_2,sum_scores_3,sum_scores_4,m_score,wishart_p
GO:0000003,-0.7969845179227881,-1.079592563513171,1.787089031318673,-1.003449085111802,6.001301697272783,,2,0,0,2,0,0,5515
GO:0000014,-0.5632664345629168,-0.7629988291561964,-1.2194250712987547,0.5360764731553997,2.673811779181653,,1,0,0,0,1,0,5515
GO:0000027,-1.2620724521209605,3.633792280947358,-0.42963218925905333,-0.855407167261474,15.713578455325038,3474.3204451814718,5,0,5,0,0,5.158399914062526,4855.122158438396
GO:0000028,-1.2620724521209605,1.4964357188468262,0.8742054541252556,-1.1488528568323952,5.91624479771753,4547.582064464912,5,0,3,2,0,18.781676679567212,237.83417785859587
GO:0000038,-0.5632664345629168,-0.7629988291561964,-1.2194250712987547,0.5360764731553997,2.673811779181653,,1,0,0,0,1,0,5515
GO:0000045,1.4882937680569548,0.8793556787667811,0.057050808493262384,-1.146834316525513,4.30676849412683,4333.997683379224,6,3,2,1,0,21.503428628771147,98.41043674366063
GO:0000049,-0.4260605688947361,-0.6306795957389345,-0.1437711739217893,-0.47931202641433146,0.8296945299645941,5403.290431831022,6,1,1,2,2,18.157794689130824,288.7626042927421
GO:0000052,-1.1282558365396764,-1.528331584210989,-2.4425802240164405,1.0737927427515213,10.727987669124758,,4,0,0,0,4,0,5515
GO:0000054,1.7753587621033708,-0.11068554594877744,-0.24671275482877797,-0.44309320077637326,3.4213487922286485,,1,1,0,0,0,0,5515
GO:0000055,1.7265630072900078,-0.5689052775029777,0.4447782006017789,-0.9220263570090714,4.352633283663032,,3,2,0,1,0,0,5515
GO:0000056,1.7265630072900078,-0.5689052775029777,0.4447782006017789,-0.9220263570090714,4.352633283663032,,3,2,0,1,0,0,5515
GO:0000076,-0.7969845179227881,2.2946988379275797,-0.2713078814653671,-0.5401799775297234,6.266229453264037,,2,0,2,0,0,0,5515
GO:0000077,-0.21407304884077044,-1.4172804010953002,-1.1839353373156252,0.2043238779403702,3.4979621356100927,4967.739775493641,5,1,0,1,3,14.832351604757765,762.6947707970216
GO:0000079,0.8575149876384429,-0.6181026222963514,-1.0372437241634502,2.5201503180513933,8.544414974605186,,2,1,0,0,2,0,5515
GO:0000082,-1.1689825872575486,-1.623142818992747,-2.706551413328695,0.8347890806081071,12.023406262253161,1012.6501668711664,11,1,1,1,8,19.340007488472985,199.370789006255
GO:0000083,-0.5632664345629168,-0.7629988291561964,-1.2194250712987547,0.5360764731553997,2.673811779181653,,1,0,0,0,1,0,5515
GO:0000086,1.1650498492551098,-0.37885090443621894,0.14206899259839606,1.6473381933429878,4.234775880945957,4011.832716499428,7,3,1,2,3,98.79937151605782,0.000000000000522500808063848
