go,z,t,p,nparts,nhits
GO:0000002,3.3488620236618325,11.214876853524427,0.008538977731395708,10,4
GO:0000003,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0000009,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000010,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000012,-0.959699840522511,0.9210237838989329,0.3653094155484776,9,0
GO:0000014,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0000015,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0000016,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000017,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000018,2.0308661763652482,4.124417426304404,0.09800290610048248,6,2
GO:0000019,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000022,4.421842414492276,19.552690338602883,0.14158985978872873,2,2
GO:0000023,1.9847592793287976,3.9392693968817687,0.29711964046666683,2,1
GO:0000025,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000026,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0000027,0.18731606078452667,0.03508730662783249,0.8535080806509365,19,2
GO:0000028,-1.1082530756127662,1.2282248796051558,0.2913961653449829,12,0
GO:0000030,-0.48301658545425297,0.23330502182388563,0.6356267201599677,17,1
GO:0000033,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0000035,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000036,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000038,-0.6037305654628532,0.3644905956740966,0.5535558712120359,19,1
GO:0000045,0.5918795453656228,0.35032139622221636,0.5561550128595223,61,7
GO:0000048,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000049,1.58395048335807,2.508899133730264,0.11864297170308769,59,9
GO:0000050,1.0177980598254481,1.0359128905844468,0.33276602893988905,11,2
GO:0000052,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0000053,3.1266328314641285,9.775832862789398,,1,1
GO:0000054,2.3676927366591274,5.60596889522839,0.07701428374129875,5,2
GO:0000055,0.45651509606467044,0.2084060329349353,0.6640790992388472,7,1
GO:0000056,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0000062,-0.34896184618659504,0.12177437009395678,0.7323106287975862,15,1
GO:0000064,0.8262248491551945,0.6826475013615241,0.45510903554730586,5,1
GO:0000070,7.242859418939534,52.45901256252114,0.00000006951799782590684,29,14
GO:0000076,-0.021622830296500428,0.0004675467900312567,0.9831741931414335,11,1
GO:0000077,-0.03747345903720995,0.0014042601322134523,0.970340306285922,33,3
GO:0000079,5.750490287036842,33.068138541305075,0.000000640882465429303,48,16
GO:0000080,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000082,5.8963279524265575,34.766683322566756,0.00000014587673150852982,66,20
GO:0000083,-0.48301658545425297,0.23330502182388563,0.6356267201599677,17,1
GO:0000086,4.8512484523065025,23.534611546006236,0.000014455417161709942,47,14
GO:0000095,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000097,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000098,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0000103,1.9847592793287976,3.9392693968817687,0.29711964046666683,2,1
GO:0000104,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000105,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000109,-0.7835300265070486,0.6139193024381364,0.46878731672782725,6,0
GO:0000110,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0000111,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000112,3.1266328314641285,9.775832862789398,,1,1
GO:0000117,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000118,0.702587916893625,0.4936297809649234,0.4864853172715201,40,5
GO:0000121,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000122,4.768155595031913,22.735307778434137,0.000002158778143915463,926,127
GO:0000123,0.18731606078452667,0.03508730662783249,0.8535080806509365,19,2
GO:0000124,0.0385227402588344,0.0014840015170496208,0.9696528412897184,21,2
GO:0000126,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0000127,2.0308661763652482,4.124417426304404,0.09800290610048248,6,2
GO:0000132,3.677033214136076,13.520573257859883,0.0008883861181695388,32,9
GO:0000137,-1.197112904939893,1.4330793071736296,0.25263677633235493,14,0
GO:0000138,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0000139,3.4571838505613264,11.95212017658204,0.0005827752717074734,628,83
GO:0000140,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000145,-0.2756922919741385,0.07600623985395367,0.7871180755787773,14,1
GO:0000146,-0.2459131367853727,0.06047327084362142,0.8071461571883772,37,3
GO:0000149,0.37044418927021144,0.13722889736406427,0.7124744243621663,56,6
GO:0000150,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000151,2.6531014218961566,7.038947154867408,0.009190198488140646,108,18
GO:0000152,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0000154,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0000159,2.1679864047810353,4.700165051315401,0.04665487573001228,16,4
GO:0000160,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000164,-0.021622830296500428,0.0004675467900312567,0.9831741931414335,11,1
GO:0000165,1.792858321076297,3.2143409594525183,0.07569481426252515,113,16
GO:0000166,0.4643906917461878,0.21565871458050279,0.6442698967407408,54,6
GO:0000170,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000171,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000172,1.338425732792201,1.7913834422003396,0.21754691333037923,9,2
GO:0000175,0.3281411044305979,0.10767658441693258,0.7454330007650832,27,3
GO:0000176,1.877334402506097,3.524384458832925,0.0872283162351991,12,3
GO:0000177,1.714998253958391,2.9412190110803293,0.11202902821218517,13,3
GO:0000178,2.4885695469231246,6.192978389873166,0.027167900024548757,14,4
GO:0000179,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0000182,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0000183,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0000184,0.4997581074861115,0.24975816599809986,0.6205615096648358,34,4
GO:0000209,2.0530873242305065,4.215167560915983,0.042202015584487426,123,18
GO:0000210,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0000212,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0000213,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000214,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0000215,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000217,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0000220,0.07848627606371505,0.00616009553034969,0.939158569073999,10,1
GO:0000221,-0.021622830296500428,0.0004675467900312567,0.9831741931414335,11,1
GO:0000224,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000225,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000226,2.481895716842951,6.159806349283387,0.0144640565556079,120,19
GO:0000228,4.767581028931537,22.729828867427884,0.0000830905091086906,24,9
GO:0000235,1.083652270410898,1.1743022431666936,0.35783769368441276,4,1
GO:0000242,0.0385227402588344,0.0014840015170496208,0.9696528412897184,21,2
GO:0000243,0.8262248491551945,0.6826475013615241,0.45510903554730586,5,1
GO:0000244,1.714998253958391,2.9412190110803293,0.11202902821218517,13,3
GO:0000245,1.0734994297701335,1.1524010257168016,0.293300077656642,26,4
GO:0000246,3.1266328314641285,9.775832862789398,,1,1
GO:0000247,3.1266328314641285,9.775832862789398,,1,1
GO:0000248,-0.3198328853764785,0.10229307456824367,,1,0
GO:0000250,3.1266328314641285,9.775832862789398,,1,1
GO:0000252,3.1266328314641285,9.775832862789398,,1,1
GO:0000253,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0000254,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0000255,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
